,UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
623,1492041600,49.97,84124,1485120,90688173.1562,4531.68801262,18205.074,254.80599999999998,5798,375,2589,14.88,22310955741,4042837,2759203997,30339.84375,
624,1492128000,47.32,81155,1492214,90719162.8438,4292.83078577,19833.811999999998,271.575,5908,402,2451,14.62,22257379067,4060714,2852421954,30989.6875,
625,1492214400,48.89,74820,1498803,90749160.9688,4436.72647976,19260.1407,272.397,5721,388,2348,15.08,22240477959,4085220,2598033805,29998.125,
626,1492300800,48.22,70634,1503386,90779668.1562,4377.39559849,19591.7831,272.58099999999996,5820,390,2220,14.85,22100218538,4064064,2501650359,30507.1875,
627,1492387200,47.94,72546,1509763,90810315.6562,4353.44653256,19889.9768,275.532,5861,376,2309,14.73,22255010723,4052528,2751457420,30647.5,
628,1492473600,49.88,83303,1518090,90840832.375,4531.14071887,20302.3049,282.74,5861,343,2603,14.67,22747420158,4176945,3260252456,30516.71875,
629,1492560000,47.88,85734,1526805,90870444.5625,4350.87688565,20078.8856,288.751,5718,290,2664,15.06,22626922333,4090202,3465363718,29612.1875,
630,1492646400,49.36,85450,1536829,90900866.75,4486.86678278,20288.8866,283.972,5859,314,2581,14.67,22480105997,4094391,3408878184,30422.1875,
631,1492732800,48.27,81278,1548026,90931344.0938,4389.25597941,20805.2888,290.823,5878,303,2691,14.67,22819358782,4203564,3790138031,30477.34375,
632,1492819200,48.41,73539,1555797,90961334.4062,4403.43819861,20900.958,297.111,5792,286,2429,14.87,22631052480,4242704,3110233611,29990.3125,
633,1492905600,48.75,77073,1562427,90991825.6562,4435.85150074,21389.0055,298.45099999999996,5864,328,2393,14.67,21898039096,4236509,3017245471,30491.25,
634,1492992000,49.94,80531,1572073,91021611.125,4545.61925958,20664.8066,295.212,5721,327,2553,15.06,22992421400,4262866,3142866515,29785.46875,
635,1493078400,50.09,93033,1580035,91052368.9375,4560.81316008,21582.4498,298.308,5897,354,2803,14.57,21734015245,4281190,3587460558,30757.8125,
636,1493164800,53.28,89642,1596565,91081701.125,4852.83303594,21292.624,308.931,5637,318,2724,15.27,22048839796,4286926,3389558270,29332.1875,
637,1493251200,63.14,104494,1612349,91111031.125,5752.75050523,21617.4059,313.69599999999997,5642,312,3095,15.25,22377947330,4281196,3855782843,29330.0,
638,1493337600,72.42,106193,1624667,91140713.1562,6600.41044678,22951.0371,328.63300000000004,5697,337,3178,15.12,22130700584,4291332,3606508681,29682.03125,
639,1493424000,69.83,91335,1635440,91169930.8125,6366.39626864,23467.3816,342.092,5626,301,2793,15.29,22799209590,4286304,3072854430,29217.65625,
640,1493510400,79.83,95202,1647543,91199299.4062,7280.440071600001,22938.2706,332.584,5648,311,3064,15.25,22541845100,4285640,3369941640,29368.59375,0.0
641,1493596800,77.53,112202,1663543,91228656.9062,7072.95776994,23205.2792,336.173,5624,340,3544,15.32,22989649815,4289999,4407350348,29357.5,0.0
642,1493683200,77.25,110354,1678680,91258093.3125,7049.68770839,23246.7388,335.2,5619,373,3461,15.29,22975461233,4288820,4635194345,29436.40625,0.0
643,1493769600,80.37,97334,1690254,91287645.9688,7336.78810651,23614.2464,339.47900000000004,5649,361,3028,15.21,22182605256,4288653,3466927160,29552.65625,0.0
